Precipitation_mm,Min_Temp_C,Max_Temp_C
0.0,6.4,26.1
0.0,3.8,28.0
0.0,4.0,23.5
0.0,7.6,24.1
0.0,3.8,24.6
0.0,5.0,24.4
0.0,7.0,24.6
0.0,7.5,24.6
0.0,6.4,26.0
0.0,5.5,26.5
0.0,6.2,25.9
0.0,6.7,25.7
0.4,6.0,26.0
0.9,8.2,27.0
0.0,6.6,28.5
0.0,6.0,28.0
0.0,6.4,28.3
0.0,7.0,28.3
0.0,9.0,28.4
0.0,8.7,29.6
0.0,12.4,19.5
6.1,6.7,27.2
0.0,7.5,27.6
0.0,8.0,27.7
0.0,8.3,27.8
0.0,10.0,27.6
0.0,10.3,28.1
0.0,11.4,26.4
0.0,7.7,31.4
1.0,11.2,28.7
3.5,7.4,25.6
0.4,7.0,27.4
0.0,7.5,28.7
0.0,8.4,29.8
0.0,8.7,31.5
0.0,12.6,31.0
0.0,8.7,32.4
0.0,9.7,31.6
0.0,10.5,31.9
0.0,11.2,32.6
0.0,11.3,32.7
0.0,11.5,32.5
0.0,13.9,25.3
4.9,14.1,25.0
23.0,11.7,23.3
0.0,10.0,28.4
0.0,10.3,29.2
0.4,14.0,19.1
0.6,10.3,28.4
0.0,11.0,29.5
0.0,11.1,29.3
0.0,11.3,29.8
0.0,12.7,31.2
0.0,12.3,32.0
0.0,10.8,29.8
1.8,11.8,31.9
0.0,12.5,31.0
0.0,14.0,32.5
0.0,15.2,32.7
0.0,14.2,31.7
25.2,13.7,30.0
16.0,15.0,26.5
0.0,14.8,27.1
14.4,14.0,26.0
0.0,14.5,29.0
0.0,15.4,27.4
18.8,14.8,27.2
0.0,18.1,26.0
3.6,17.7,24.3
5.6,16.8,28.6
27.0,15.8,28.0
0.2,17.0,30.6
0.0,18.0,30.6
4.8,18.9,28.5
0.4,17.3,27.2
0.7,15.3,28.8
0.0,15.9,27.4
5.4,14.5,28.7
0.0,16.8,28.0
0.0,15.6,29.0
0.0,15.5,28.5
0.0,16.7,28.5
2.8,18.2,29.5
3.0,18.1,29.0
19.5,16.6,28.2
16.6,16.1,27.7
12.2,17.0,28.6
0.0,17.0,30.0
3.2,18.6,29.0
0.0,17.7,27.4
0.5,17.8,27.7
0.0,17.7,27.9
0.0,19.7,29.6
8.4,19.6,27.5
10.9,18.4,24.7
6.6,18.5,28.1
4.9,18.5,28.8
0.6,17.0,29.4
0.0,17.7,28.2
0.0,18.2,28.6
11.2,18.8,28.3
54.0,18.2,30.2
0.0,20.5,29.6
2.8,18.7,29.7
17.1,18.1,29.6
34.2,18.4,29.0
2.4,19.5,28.4
0.5,19.5,26.7
3.2,19.4,26.7
17.4,19.5,28.0
5.4,20.0,28.8
15.7,20.0,29.5
1.0,20.1,26.2
1.0,19.7,29.0
5.6,19.6,29.0
2.7,20.5,27.5
16.2,20.0,29.5
0.0,19.8,29.3
2.4,20.0,30.5
8.7,19.5,29.0
17.5,20.4,30.8
28.0,21.0,30.5
0.0,20.1,27.4
1.0,20.2,30.4
2.6,19.2,31.5
45.6,18.5,31.7
0.4,20.3,32.1
4.2,20.5,31.0
8.8,20.0,30.5
3.8,20.0,30.5
0.4,21.0,30.0
0.0,20.7,30.5
5.8,20.5,29.3
0.0,20.5,29.6
9.6,20.0,27.5
17.6,20.0,24.2
59.6,19.5,24.4
13.6,20.0,28.3
